STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,MEASURE,Measure,PRODUCT_TYPE,Product type,COMM_HS2017,Product,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,METHODOLOGY_TYPE,Methodology type,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,FRA,France,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.78509343821109,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,DEU,Germany,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.28941075359323,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,GRC,Greece,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.80042636122833,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,HUN,Hungary,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.05502111843508,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,ISL,Iceland,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.56492659707957,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,IRL,Ireland,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,4.88670625422825,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,ISR,Israel,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.81500494067598,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,ITA,Italy,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.25152214631063,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,KOR,Korea,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,3.1048021498993,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,LVA,Latvia,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,8.45287468759413,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,LTU,Lithuania,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.94303951601991,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,LUX,Luxembourg,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.61391268864531,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,MEX,Mexico,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.22476001259193,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,NLD,Netherlands,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.3044655633536,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,NZL,New Zealand,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.4766625835691,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,NOR,Norway,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.43646548226923,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,POL,Poland,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.03903404165243,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,PRT,Portugal,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.54807587291994,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,SVK,Slovak Republic,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.16007801742213,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,SVN,Slovenia,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.86223805899089,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,ESP,Spain,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.35883506387823,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,SWE,Sweden,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.70162854805772,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,CHE,Switzerland,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,4.40891602033496,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,TUR,Türkiye,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.97008502307271,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,GBR,United Kingdom,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.97853025701611,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,USA,United States,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.15179072905309,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,AFG,Afghanistan,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.5907699994543,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,ALB,Albania,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.50118025855985,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,DZA,Algeria,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,7.46321509688415,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,ASM,American Samoa,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,8.0021643669336,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,AGO,Angola,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,6.1094954076357,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_ITIC@DF_ITIC(1.1),International transport and insurance costs of merchandise trade (ITIC),I,JPN,Japan,AND,Andorra,C_F,CIF/FOB margin,C,Commodities,_T,Total,A,Annual,PT_IM_CIF,Percentage of imports (valued at the CIF price),2017,,5.5750457022758,,I,Value imputed by a receiving agency,AG,Aggregation,0,Units,2,Two
