origin,country,region,industry,industry_weight,exports_vol,imports_vol,trade_value,trade_pct_gdp,tariff_rate,transport_cost,fatality_rate,violent_events,un_vote_alignment,state_visits,actual_vs_expected,risk_index,latitude,longitude,year
Singapore,China,APAC,Electronics,0.11674172222780438,8396.06,10562.66,18958.72,0.03303,19.01,7.59,11.97,7.8,0.156,7,115.089,18.576,35.86,104.19,2025
Singapore,China,APAC,Automotive,0.061282315805420054,6136.51,3815.67,9952.18,0.01734,19.01,7.59,11.97,7.8,0.156,7,143.855,18.576,35.86,104.19,2025
Singapore,China,APAC,Chemicals,0.050155753168202866,5682.63,2462.6,8145.24,0.01419,19.01,7.59,11.97,7.8,0.156,7,111.748,18.576,35.86,104.19,2025
Singapore,China,APAC,Agriculture,0.1723306320976562,11253.84,16732.45,27986.29,0.04876,19.01,7.59,11.97,7.8,0.156,7,52.306,18.576,35.86,104.19,2025
Singapore,China,APAC,Energy,0.15495493205167785,13084.49,12080.01,25164.5,0.04384,19.01,7.59,11.97,7.8,0.156,7,54.667,18.576,35.86,104.19,2025
Singapore,China,APAC,Machinery,0.24475110376829184,18674.53,21072.77,39747.29,0.06925,19.01,7.59,11.97,7.8,0.156,7,59.061,18.576,35.86,104.19,2025
Singapore,China,APAC,Pharmaceuticals,0.17367720186661748,14518.19,13686.79,28204.97,0.04914,19.01,7.59,11.97,7.8,0.156,7,148.323,18.576,35.86,104.19,2025
Singapore,China,APAC,Financial Services,0.143352578649596,15318.01,7962.28,23280.29,0.04056,19.01,7.59,11.97,7.8,0.156,7,118.031,18.576,35.86,104.19,2025
Singapore,United States of America,NA,Electronics,0.18684660530243138,17805.48,15660.59,33466.06,0.0583,0.27,9.48,11.27,19.27,0.016,1,62.204,17.846,37.09,-95.71,2025
Singapore,United States of America,NA,Automotive,0.14903538202225405,10952.87,15740.83,26693.7,0.0465,0.27,9.48,11.27,19.27,0.016,1,140.932,17.846,37.09,-95.71,2025
Singapore,United States of America,NA,Chemicals,0.10175599632000339,10912.64,7312.86,18225.5,0.03175,0.27,9.48,11.27,19.27,0.016,1,81.171,17.846,37.09,-95.71,2025
Singapore,United States of America,NA,Agriculture,0.15401360423556218,15558.5,12026.85,27585.35,0.04806,0.27,9.48,11.27,19.27,0.016,1,68.485,17.846,37.09,-95.71,2025
Singapore,United States of America,NA,Energy,0.24391692555291172,27634.35,16053.57,43687.92,0.07611,0.27,9.48,11.27,19.27,0.016,1,143.95,17.846,37.09,-95.71,2025
Singapore,United States of America,NA,Machinery,0.22896547008552978,23759.94,17250.02,41009.97,0.07145,0.27,9.48,11.27,19.27,0.016,1,142.187,17.846,37.09,-95.71,2025
Singapore,United States of America,NA,Pharmaceuticals,0.0676985004103839,5563.1,6562.37,12125.47,0.02112,0.27,9.48,11.27,19.27,0.016,1,54.523,17.846,37.09,-95.71,2025
Singapore,United States of America,NA,Financial Services,0.11506606615265287,10646.91,9962.55,20609.46,0.0359,0.27,9.48,11.27,19.27,0.016,1,77.135,17.846,37.09,-95.71,2025
Singapore,Malaysia,APAC,Electronics,0.05312728134823879,7344.8,6591.66,13936.47,0.02428,7.14,3.53,10.85,7.05,0.802,0,89.488,8.695,4.21,101.97,2025
Singapore,Malaysia,APAC,Automotive,0.10869763494360762,11525.96,16987.84,28513.81,0.04968,7.14,3.53,10.85,7.05,0.802,0,69.884,8.695,4.21,101.97,2025
Singapore,Malaysia,APAC,Chemicals,0.19226839054973,32130.56,18305.71,50436.28,0.08787,7.14,3.53,10.85,7.05,0.802,0,110.596,8.695,4.21,101.97,2025
Singapore,Malaysia,APAC,Agriculture,0.2352601757026698,36739.76,24974.22,61713.98,0.10752,7.14,3.53,10.85,7.05,0.802,0,141.496,8.695,4.21,101.97,2025
Singapore,Malaysia,APAC,Energy,0.22000771555795987,30866.9,26846.02,57712.92,0.10055,7.14,3.53,10.85,7.05,0.802,0,59.541,8.695,4.21,101.97,2025
Singapore,Malaysia,APAC,Machinery,0.12416365043965327,19563.78,13007.11,32570.89,0.05674,7.14,3.53,10.85,7.05,0.802,0,116.592,8.695,4.21,101.97,2025
Singapore,Malaysia,APAC,Pharmaceuticals,0.16825955754154542,21293.01,22845.22,44138.23,0.0769,7.14,3.53,10.85,7.05,0.802,0,106.124,8.695,4.21,101.97,2025
Singapore,Malaysia,APAC,Financial Services,0.12658537495075797,22962.51,10243.65,33206.16,0.05785,7.14,3.53,10.85,7.05,0.802,0,134.891,8.695,4.21,101.97,2025
Singapore,Indonesia,APAC,Electronics,0.056285837137346854,7941.98,5497.98,13439.96,0.02341,4.72,3.3,0.81,35.53,0.111,2,81.436,17.024,-0.79,113.92,2025
Singapore,Indonesia,APAC,Automotive,0.15171413823294055,24353.9,11872.47,36226.38,0.06311,4.72,3.3,0.81,35.53,0.111,2,74.929,17.024,-0.79,113.92,2025
Singapore,Indonesia,APAC,Chemicals,0.13207658460712596,19763.34,11773.97,31537.31,0.05494,4.72,3.3,0.81,35.53,0.111,2,72.88,17.024,-0.79,113.92,2025
Singapore,Indonesia,APAC,Agriculture,0.0653959819657586,7603.48,8011.81,15615.28,0.0272,4.72,3.3,0.81,35.53,0.111,2,66.122,17.024,-0.79,113.92,2025
Singapore,Indonesia,APAC,Energy,0.23593953046851462,36193.41,20144.35,56337.76,0.09815,4.72,3.3,0.81,35.53,0.111,2,113.34,17.024,-0.79,113.92,2025
Singapore,Indonesia,APAC,Machinery,0.22429211803754356,34335.21,19221.37,53556.58,0.0933,4.72,3.3,0.81,35.53,0.111,2,68.657,17.024,-0.79,113.92,2025
Singapore,Indonesia,APAC,Pharmaceuticals,0.22851179969799557,30654.29,23909.87,54564.16,0.09506,4.72,3.3,0.81,35.53,0.111,2,130.744,17.024,-0.79,113.92,2025
Singapore,Indonesia,APAC,Financial Services,0.22921825998469866,27114.71,27618.14,54732.85,0.09535,4.72,3.3,0.81,35.53,0.111,2,61.005,17.024,-0.79,113.92,2025
Singapore,Japan,APAC,Electronics,0.14696599427179666,11624.07,7502.93,19127.0,0.03332,8.54,8.36,17.21,0.35,0.511,8,76.941,12.396,36.2,138.25,2025
Singapore,Japan,APAC,Automotive,0.09882510444955483,5794.02,7067.65,12861.67,0.02241,8.54,8.36,17.21,0.35,0.511,8,71.876,12.396,36.2,138.25,2025
Singapore,Japan,APAC,Chemicals,0.16162040040346826,10961.99,10072.21,21034.21,0.03664,8.54,8.36,17.21,0.35,0.511,8,56.489,12.396,36.2,138.25,2025
